Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold31405	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	0.163147	1.0	0.0
scaffold32131	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.991007	0.0
scaffold115418	nosZ	SUP05; SUP05	SUP05; SUP05	0.0497036	1.0	0.0
scaffold51542	nosZ	SUP05; SUP05	SUP05; SUP05	0.148304	1.0	0.0
scaffold86843	nosZ	SAR324; SAR324	SAR324; SAR324	0	1.0	0.0
scaffold272059	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.576216	0.0
scaffold186807	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.998623	0.0
scaffold05536	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	0.188558	1.0	0.0
scaffold32303	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.999996	0.0
scaffold195221	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	0	0.252509	0.075
scaffold22648	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.941961	0.0
scaffold103647	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	0.139755	0.735657	0.0
scaffold09216	nosZ	SUP05; SUP05	SUP05; SUP05	0.714781	1.0	0.0
scaffold37129	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	0.092806	1.0	0.0
scaffold00099	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; DSM	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	0.029229	0.999977	0.0
scaffold00004	nosZ	SAR324; SAR324	SAR324; SAR324	0.223168	1.0	0.0
scaffold00341	nosZ	GAMMA; GAMMA	GAMMA; GAMMA	0.0668564	1.0	0.0
scaffold20851	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.974097	0.0
scaffold63680	nosZ	SAR324; SAR324	SAR324; SAR324	0	1.0	0.0
scaffold00052	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	0.0332284	1.0	0.0
scaffold90396	nosZ	SAR324; SAR324	SAR324; SAR324	0	1.0	0.0
scaffold24810	nosZ	SAR324; SAR324	SAR324; SAR324	0	0.997096	0.0
scaffold00617	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0.0725445	0.994404	0.0
scaffold327574	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	0	0.323636	0.075
scaffold365225	nosZ	Bacteria; Ignavibacteriae; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium; JCM	Bacteria; Ignavibacteriae; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium	0.288563	0.396286	0.0
scaffold00026	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	0.506266	0.999148	0.0
