DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
29,0.0
78,0.0
87,0.0
40,0.0
100,0.0
68,0.0
116,0.0323499
54,0.0
37,0.0
114,0.0
95,0.0
31,0.45810699999999993
72,0.0
51,0.0
47,0.0
120,1.958925
112,0.0
74,1.561865
62,0.0
43,0.0
9,0.0
90,0.0
80,0.0
4,0.0
15,0.0
88,0.0
118,0.859695
113,0.0
63,0.0
45,0.0
86,0.0
98,0.0
2,0.0
8,0.0
18,0.0
27,0.0
119,1.07957
93,0.0
12,0.0
38,0.0
49,0.0
79,0.0
26,0.0
70,0.0
55,0.0
104,0.0
19,0.0
77,0.0
48,0.0
117,0.516494
25,0.0
67,0.0
83,0.0
41,0.0
56,0.0
28,0.0
42,0.0
17,0.0
115,0.61476
6,0.0
75,0.0
82,0.0
97,0.0
59,1.433641
69,0.0
57,0.0
21,0.0
96,0.0
94,0.0
22,0.0
103,0.0
53,0.0
92,0.0
