Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold143331	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	28.3789	1.0	0.0
scaffold00192	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	170.62	1.0	0.0
scaffold71149	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	25.4105	1.0	0.0
scaffold01476	nosZ	SAR324; SAR324	SAR324; SAR324	1.88285	0.935161	0.0
scaffold00003	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	2.08666	1.0	0.0
scaffold04084	nosZ	SUP05; SUP05	SUP05; SUP05	1.98799	1.0	0.0
scaffold08785	nosZ	Bac22; Bac22	Bac22; Bac22	2.79174	1.0	0.0
scaffold00022	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	4.84987	1.0	0.0
scaffold211722	nosZ	Bacteria; Proteobacteria	Bacteria; Proteobacteria	0.572094	0.578259	0.24629
scaffold03045	nosZ	SUP05; SUP05	SUP05; SUP05	1.01175	1.0	0.0
scaffold00030	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	1.43764	0.999148	0.0
scaffold49768	nosZ	SUP05; SUP05	SUP05; SUP05	0.529783	1.0	0.0
scaffold24563	nosZ	Bac22; Bac22	Bac22; Bac22	1.22507	1.0	0.0
scaffold06582	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	1.36997	1.0	0.0
scaffold108331	nosZ	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; thermodenitrificans	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus	0.124518	0.99436	0.0
scaffold00495	nosZ	GAMMA; GAMMA	GAMMA; GAMMA	4.36171	1.0	0.0
scaffold18943	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	22.2235	1.0	0.0
