Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold143331	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	1.31328	1.0	0.0
scaffold00192	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	26.761	1.0	0.0
scaffold71149	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	1.66394	1.0	0.0
scaffold01476	nosZ	SAR324; SAR324	SAR324; SAR324	3.64807	0.935161	0.0
scaffold00003	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	6.45259	1.0	0.0
scaffold04084	nosZ	SUP05; SUP05	SUP05; SUP05	7.11345	1.0	0.0
scaffold08785	nosZ	Bac22; Bac22	Bac22; Bac22	2.47211	1.0	0.0
scaffold00022	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	3.11382	1.0	0.0
scaffold211722	nosZ	Bacteria; Proteobacteria	Bacteria; Proteobacteria	1.03726	0.578259	0.24629
scaffold03045	nosZ	SUP05; SUP05	SUP05; SUP05	4.89553	1.0	0.0
scaffold00030	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	8.69414	0.999148	0.0
scaffold49768	nosZ	SUP05; SUP05	SUP05; SUP05	0.909089	1.0	0.0
scaffold24563	nosZ	Bac22; Bac22	Bac22; Bac22	3.24632	1.0	0.0
scaffold06582	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	3.10485	1.0	0.0
scaffold108331	nosZ	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; thermodenitrificans	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus	0.649066	0.99436	0.0
scaffold00495	nosZ	GAMMA; GAMMA	GAMMA; GAMMA	50.6647	1.0	0.0
scaffold18943	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	1.55801	1.0	0.0
