Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold106932	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; DSM	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	1.46049	0.918055	0.0
scaffold190532	nosZ	SUP05; SUP05	SUP05; SUP05	1.01632	1.0	0.0
scaffold17557	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	1.73994	1.0	0.0
scaffold72438	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	1.48164	1.0	0.0
scaffold272143	nosZ	SUP05; SUP05	SUP05; SUP05	0.750191	1.0	0.0
scaffold12378	nosZ	SUP05; SUP05	SUP05; SUP05	11.1884	1.0	0.0
scaffold246489	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	1.07972	1.0	0.0
scaffold02231	nosZ	GAMMA; GAMMA	GAMMA; GAMMA	21.2684	1.0	0.0
scaffold230326	nosZ	SUP05; SUP05	SUP05; SUP05	1.30942	1.0	0.0
scaffold98418	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	2.23206	1.0	0.0
scaffold12192	nosZ	SUP05; SUP05	SUP05; SUP05	10.6888	1.0	0.0
scaffold185171	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; DSM	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	20.9822	0.499035	0.0
scaffold33350	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	1.59171	1.0	0.0
scaffold00074	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	4.46334	1.0	0.0
scaffold179874	nosZ	Bac22; Bac22	Bac22; Bac22	1.8079	1.0	0.0
scaffold119851	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	1.24854	1.0	0.0
scaffold00149	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	19.1016	1.0	0.0
scaffold188284	nosZ	SAR324; SAR324	SAR324; SAR324	2.30139	1.0	0.0
scaffold51579	nosZ	SAR324; SAR324	SAR324; SAR324	7.19762	1.0	0.0
scaffold108633	nosZ	SUP05; SUP05	SUP05; SUP05	1.44555	1.0	0.0
scaffold00014	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	5.81262	0.994404	0.0
scaffold122705	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0.759141	0.549524	0.0
scaffold174764	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	1.62372	1.0	0.0
scaffold234932	nosZ	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	1.00486	0.338854	0.17708
scaffold150320	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	1.10129	0.568995	0.0
scaffold00027	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	7.97966	0.999148	0.0
scaffold36796	nosZ	SAR324; SAR324	SAR324; SAR324	4.95814	1.0	0.0
scaffold125767	nosZ	SUP05; SUP05	SUP05; SUP05	0.705308	1.0	0.0
scaffold121778	nosZ	SAR324; SAR324	SAR324; SAR324	1.41959	1.0	0.0
